API_CID,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,fr_NH2,fr_NH1,fr_ester,fr_amide,fr_aldehyde,fr_ketone,fr_phenol,fr_ether,fr_epoxide,fr_halogen,fr_COO
196,146.142,0.716,74.6,2,2,5,0,0,0.6666666666666666,10,0,0,0,0,0,0,0,0,0,0,2
243,122.12299999999996,1.3848,37.3,1,1,1,1,1,0.0,9,0,0,0,0,0,0,0,0,0,0,1
244,108.13999999999997,1.1788999999999998,20.23,1,1,1,1,1,0.14285714285714285,8,0,0,0,0,0,0,0,0,0,0,0
305,104.17299999999999,-0.3150999999999999,20.23,1,1,2,0,0,1.0,7,0,0,0,0,0,0,0,0,0,0,0
753,92.09399999999998,-1.6681000000000001,60.69,3,3,2,0,0,1.0,6,0,0,0,0,0,0,0,0,0,0,0
1103,202.34599999999998,-0.35659999999999753,76.1,4,4,11,0,0,1.0,14,2,2,0,0,0,0,0,0,0,0,0
1727,94.117,0.6638000000000001,38.91,1,2,0,1,1,0.0,7,1,0,0,0,0,0,0,0,0,0,0
1775,252.273,1.7696,58.2,2,2,2,2,3,0.06666666666666667,19,0,2,0,3,0,0,0,0,0,0,0
1983,151.165,1.3505999999999998,49.33,2,2,1,1,1,0.125,11,0,1,0,1,0,0,1,0,0,0,0
2082,265.338,3.2433000000000005,67.01,2,4,4,2,2,0.3333333333333333,18,0,2,0,1,0,0,0,1,0,0,0
2083,239.315,1.3059999999999998,72.72,4,4,4,1,1,0.5384615384615384,17,0,1,0,0,0,0,1,0,0,0,0
2130,151.253,1.9139000000000002,26.02,1,1,0,0,4,1.0,11,1,0,0,0,0,0,0,0,0,0,0
2132,378.108,3.186900000000001,58.28,3,3,3,1,2,0.5384615384615384,18,1,1,0,0,0,0,0,0,0,2,0
2162,408.88200000000035,2.2663,99.88,2,7,8,1,2,0.4,28,1,1,2,0,0,0,0,3,0,1,0
2244,180.15899999999996,1.3101,63.60000000000001,1,3,2,1,1,0.1111111111111111,13,0,0,1,0,0,0,0,1,0,0,1
2249,266.34099999999995,0.4521,84.58,3,4,8,1,1,0.5,19,1,1,0,1,0,0,0,1,0,0,0
2284,213.66399999999996,1.8569999999999995,63.31999999999999,2,2,4,1,1,0.3,14,1,0,0,0,0,0,0,0,0,1,1
