Excipient_CID,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,NumAromaticRings,RingCount,FractionCSP3,HeavyAtomCount,fr_NH2,fr_NH1,fr_ester,fr_amide,fr_aldehyde,fr_ketone,fr_phenol,fr_ether,fr_epoxide,fr_halogen,fr_COO
24434,101.102,-3.2351,66.2,0,3,0,0,0,0.0,5,0,0,0,0,0,0,0,0,0,0,0
516875,158.03199999999998,-4.5439,74.27,0,4,0,0,0,0.0,6,0,0,0,0,0,0,0,0,0,0,0
24823,47.997,-1.1219999999999999,51.43,0,2,0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0
14793,239.19799999999998,-0.6184000000000001,34.14,0,2,0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0
14798,39.997,-3.1728,30.0,0,1,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0
56841936,258.159,-3.853,158.97,0,7,6,0,0,0.0,13,0,0,0,0,0,0,0,0,0,0,0
51063134,454.5130000000003,-0.16439999999999322,101.53000000000003,0,11,12,0,2,1.0,31,0,0,0,0,0,0,0,11,0,0,0
1118,98.07899999999998,-0.6527999999999998,74.6,2,2,0,0,0,0.0,5,0,0,0,0,0,0,0,0,0,0,0
2723872,180.156,-3.219799999999999,110.38000000000001,5,6,1,0,1,1.0,12,0,0,0,0,0,0,0,1,0,0,0
1183,152.14899999999997,1.2133,46.53,1,3,2,1,1,0.125,11,0,0,0,0,1,0,1,1,0,0,0
6426889,122.548,-6.563000000000001,69.17999999999999,0,3,0,0,0,0.0,5,0,0,0,0,0,0,0,0,0,1,0
14915,99.993,-0.3589,51.21,0,3,0,0,0,0.0,4,0,0,0,0,0,0,0,0,0,0,0
751,90.07799999999999,-1.4615,57.53,2,3,2,0,0,0.6666666666666666,6,0,0,0,0,1,0,0,0,0,0,0
11177,591.2570000000005,9.614799999999999,80.25999999999999,0,4,32,0,0,0.9444444444444444,41,0,0,0,0,0,0,0,0,0,0,2
174,62.068000000000005,-1.029,40.46,2,2,1,0,0,1.0,4,0,0,0,0,0,0,0,0,0,0,0
14055602,370.35100000000017,-4.0889999999999915,167.53,6,11,6,0,2,1.0,25,0,0,0,0,0,0,0,5,0,0,0
24261,60.084,-0.6184000000000001,34.14,0,2,0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0
26042,79.865,-0.2401,34.14,0,2,0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0
6251,182.172,-3.585399999999998,121.38000000000001,6,6,5,0,0,1.0,12,0,0,0,0,0,0,0,0,0,0,0
11029,84.313,-2.8278,63.19,0,3,0,0,0,0.0,5,0,0,0,0,0,0,0,0,0,0,0
10112,100.08600000000001,-2.8278,63.19,0,3,0,0,0,0.0,5,0,0,0,0,0,0,0,0,0,0,0
14778,56.077000000000005,-0.49960000000000004,17.07,0,1,0,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0
6917,111.14399999999999,0.7523,20.310000000000002,0,1,1,0,1,0.5,8,0,0,0,1,0,0,0,0,0,0,0
