model_name,split,pr_auc,f1,mcc,precision,recall,accuracy,threshold
molformer_concat_asl,val,0.6258434898981974,0.6352941176470588,0.5990111753487943,0.574468085106383,0.7105263157894737,0.9263657957244655,0.635
molformer_cross_attn_asl,val,0.7021135454757986,0.6811594202898551,0.6570341930714396,0.7580645161290323,0.618421052631579,0.9477434679334917,0.8290000000000001
molformer_cross_attn_bce,val,0.7041453840981444,0.6787878787878788,0.6466044292481492,0.6292134831460674,0.7368421052631579,0.9370546318289786,0.042
molformer_concat_asl__molformer_cross_attn_asl/avg,val,0.6605043249329253,0.628099173553719,0.6253812247362283,0.8444444444444444,0.5,0.9465558194774347,0.767
molformer_concat_asl__molformer_cross_attn_asl/weighted_avg,val,0.6822020850440592,0.6618705035971223,0.6350425628265363,0.7301587301587301,0.6052631578947368,0.9441805225653207,0.645
molformer_concat_asl__molformer_cross_attn_asl/lr_stacker,val,0.9162668217794375,0.8433734939759037,0.8300158147875989,0.7777777777777778,0.9210526315789473,0.9691211401425178,0.74
molformer_concat_asl__molformer_cross_attn_bce/avg,val,0.6849212244337093,0.6620689655172414,0.6311921531872318,0.6956521739130435,0.631578947368421,0.9418052256532067,0.536
molformer_concat_asl__molformer_cross_attn_bce/weighted_avg,val,0.6996085441510038,0.6792452830188679,0.6466385144054221,0.6506024096385542,0.7105263157894737,0.9394299287410927,0.157
molformer_concat_asl__molformer_cross_attn_bce/lr_stacker,val,0.7436745975032363,0.7210884353741497,0.6949295252254885,0.7464788732394366,0.6973684210526315,0.9513064133016627,0.672
molformer_concat_asl,test,0.6614799926760759,0.5392156862745098,0.4826824111389433,0.4330708661417323,0.7142857142857143,0.8601190476190477,0.635
molformer_cross_attn_asl,test,0.6676943142378489,0.5915492957746479,0.5461207050363112,0.6461538461538462,0.5454545454545454,0.9136904761904762,0.8290000000000001
molformer_cross_attn_bce,test,0.69418934133238,0.5714285714285714,0.51848037268803,0.47058823529411764,0.7272727272727273,0.875,0.042
molformer_concat_asl__molformer_cross_attn_asl/avg,test,0.6071279330408963,0.5,0.445285229261662,0.5555555555555556,0.45454545454545453,0.8958333333333334,0.767
molformer_concat_asl__molformer_cross_attn_asl/weighted_avg,test,0.5850753142457741,0.4819277108433735,0.41075491770473643,0.449438202247191,0.5194805194805194,0.8720238095238095,0.645
molformer_concat_asl__molformer_cross_attn_asl/lr_stacker,test,0.42291460879844806,0.4292682926829268,0.3489975758633253,0.34375,0.5714285714285714,0.8258928571428571,0.74
molformer_concat_asl__molformer_cross_attn_bce/avg,test,0.6270796381666344,0.5673758865248227,0.5199103605433166,0.625,0.5194805194805194,0.9092261904761905,0.536
molformer_concat_asl__molformer_cross_attn_bce/weighted_avg,test,0.6309182479700638,0.5647058823529412,0.505245667865956,0.5161290322580645,0.6233766233766234,0.8898809523809523,0.157
molformer_concat_asl__molformer_cross_attn_bce/lr_stacker,test,0.626236139017939,0.5421686746987951,0.4796687102591837,0.5056179775280899,0.5844155844155844,0.8869047619047619,0.672
molformer_concat_asl__molformer_cross_attn_asl/avg,held_out,0.6464567595523982,0.35294117647058826,0.10259783520851541,0.6,0.25,0.5416666666666666,0.767
molformer_concat_asl__molformer_cross_attn_asl/weighted_avg,held_out,0.5911656472276172,0.4,0.0,0.5,0.3333333333333333,0.5,0.645
molformer_concat_asl__molformer_cross_attn_asl/lr_stacker,held_out,0.6374684343434343,0.5925925925925926,0.08606629658238706,0.5333333333333333,0.6666666666666666,0.5416666666666666,0.74
molformer_concat_asl__molformer_cross_attn_bce/avg,held_out,0.7095751269664312,0.5,0.1767766952966369,0.625,0.4166666666666667,0.5833333333333334,0.536
molformer_concat_asl__molformer_cross_attn_bce/weighted_avg,held_out,0.6909083842713873,0.64,0.2508726030021272,0.6153846153846154,0.6666666666666666,0.625,0.157
molformer_concat_asl__molformer_cross_attn_bce/lr_stacker,held_out,0.6502943206268015,0.5714285714285714,0.25819888974716115,0.6666666666666666,0.5,0.625,0.672
