C,fold,val_pr_auc
0.001,0,0.6150567065437754
0.001,1,0.5670371746467633
0.001,2,0.8901176721828895
0.001,3,0.666202056799883
0.001,4,0.7028164774681802
0.01,0,0.5610633910625039
0.01,1,0.6097910440813666
0.01,2,0.8632789192231917
0.01,3,0.6761444753405377
0.01,4,0.7131185055379872
0.1,0,0.5284595363528555
0.1,1,0.5785489747989747
0.1,2,0.8605050505050506
0.1,3,0.7088077840255699
0.1,4,0.7203609274336638
1.0,0,0.5343093902899091
1.0,1,0.5885018511334301
1.0,2,0.8746594490247741
1.0,3,0.754123096667719
1.0,4,0.6910849736412941
10.0,0,0.5278617407501223
10.0,1,0.6238389968782125
10.0,2,0.9316201227965933
10.0,3,0.7516101853058375
10.0,4,0.7042911582948471
100.0,0,0.5841551824923038
100.0,1,0.70227305832569
100.0,2,0.9239057239057239
100.0,3,0.71566645505242
100.0,4,0.743115403115403
