C,fold,val_pr_auc
0.001,0,0.6162885487781644
0.001,1,0.5639454428132747
0.001,2,0.9206893868658574
0.001,3,0.7503081738938492
0.001,4,0.7592628766822316
0.01,0,0.5530605489878228
0.01,1,0.5617262210866215
0.01,2,0.8839974754368378
0.01,3,0.77101736718758
0.01,4,0.7421152507854636
0.1,0,0.5315601933516177
0.1,1,0.5488892095558762
0.1,2,0.8546959087158725
0.1,3,0.7609779411409846
0.1,4,0.7489684500554066
1.0,0,0.49894555862015677
1.0,1,0.5387786300980725
1.0,2,0.8766878865124479
1.0,3,0.740998075998076
1.0,4,0.6883781033781033
10.0,0,0.473233189832101
10.0,1,0.5542740098779435
10.0,2,0.9067063492063492
10.0,3,0.7367123659899955
10.0,4,0.5664325532282188
100.0,0,0.5493368304148417
100.0,1,0.5921230047545838
100.0,2,0.9190491769439137
100.0,3,0.7333709284272487
100.0,4,0.5799652579228723
