API_CID,Excipient_CID,Outcome1,API_Smiles,Excipient_Smiles
196,24823,1,C(CCC(=O)O)CC(=O)O,[O-][O+]=O
196,14793,1,C(CCC(=O)O)CC(=O)O,O=[Pb]=O
243,14798,1,C1=CC=C(C=C1)C(=O)O,[OH-].[Na+]
244,24823,1,C1=CC=C(C=C1)CO,[O-][O+]=O
244,1118,1,C1=CC=C(C=C1)CO,OS(=O)(=O)O
305,2723872,1,C[N+](C)(C)CCO,C1C(C(C(C(O1)(CO)O)O)O)O
305,1183,1,C[N+](C)(C)CCO,COC1=C(C=CC(=C1)C=O)O
753,6426889,1,C(C(CO)O)O,[O-]Cl(=O)=O.[K+]
753,14915,1,C(C(CO)O)O,O=[Cr](=O)=O
1103,751,1,C(CCNCCCN)CNCCCN,C(C(C=O)O)O
1727,174,0,C1=CN=CC=C1N,C(CO)O
1727,24261,0,C1=CN=CC=C1N,O=[Si]=O
1727,26042,0,C1=CN=CC=C1N,O=[Ti]=O
1775,56841936,1,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,O.O.O=[Al]O[Si](=O)O[Si](=O)O[Al]=O
1983,6251,1,CC(=O)NC1=CC=C(C=C1)O,C(C(C(C(C(CO)O)O)O)O)O
1983,1183,1,CC(=O)NC1=CC=C(C=C1)O,COC1=C(C=CC(=C1)C=O)O
1983,10112,1,CC(=O)NC1=CC=C(C=C1)O,C(=O)([O-])[O-].[Ca+2]
1983,5988,0,CC(=O)NC1=CC=C(C=C1)O,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
1983,22311,0,CC(=O)NC1=CC=C(C=C1)O,CC1=CCC(CC1)C(=C)C
1983,24836924,0,CC(=O)NC1=CC=C(C=C1)O,CC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)OC)O)O)OC4C(C(C(C(O4)CO)OC)O)O)O)O)O)O
1983,26924,0,CC(=O)NC1=CC=C(C=C1)O,O[Si](=O)[O-].O[Si](=O)[O-].[O-][Si](=O)[O-].[O-][Si](=O)[O-].[Mg+2].[Mg+2].[Mg+2]
2082,11177,1,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Mg+2]
2082,104938,0,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O.O
2082,6251,0,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,C(C(C(C(C(CO)O)O)O)O)O
2082,4134690,0,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,C(CCCCCCCCCCO)CCCCCCCCCO
2082,6917,0,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,C=CN1CCCC1=O
